x,y
24,36
37,36
50,36
63,36
76,36
89,36
102,36
115,36
128,36
141,36
154,36
167,36
176,45
185,54
194,63
203,72
212,81
212,94
212,107
212,120
212,133
212,146
212,159
212,172
212,185
212,198
212,211
212,224
212,237
212,250
212,263
212,276
212,289
212,302
212,315
203,324
194,333
185,342
176,351
167,360
158,369
145,369
132,369
119,369
106,369
93,369
80,369
71,360
62,351
53,342
44,333
35,324
35,311
35,298
35,285
35,272
35,259
35,246
35,233
44,224
53,215
62,206
71,197
80,188
93,188
106,188
119,188
132,188
145,188
